Location,Bedrooms,Bathrooms,Amenities,Price
"Gigiri, Westlands",4,4,"['En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 475,000
 / mont"
"Rosslyn, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 97,500
 / mont"
"Dik dik road, O, Kileleshwa",4,4,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Service Charge Included']"," 350,000
 / mont"
Kileleshwa,3,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Wheelchair Access']"," 180,000
 / mont"
"Rapta road, Parklands, Westlands",2,2,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 290,000
 / mont"
"Spring Valley, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"Waiyaki Way, Westlands",3,2,"['Balcony', 'Bus Stop']"," 60,000
 / mont"
"Nyari, Westlands",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Wheelchair Access']"," 135,000
 / mont"
"Marist road, Karen",5,5,"['Balcony', 'En Suite', 'Garden', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 450,000
 / mont"
Karen,5,5,"['Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
"Kiambu road, Kiambu Road",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
Kilimani,2,2,"['Bus Stop', 'CCTV', 'Electric Fence', 'Hospital', 'Parking', 'School', 'Shopping Centre', 'Swimming Pool']"," 75,000
 / mont"
"Brookside, Westlands",3,,"['Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced']"," 120,000
 / mont"
"Westlands Area, Westlands",2,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 350,000
 / mont"
"Spring Valley, Westlands",3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 135,000
 / mont"
"KILELESHWA, Kileleshwa",6,7,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"ROSSLYN, Rosslyn, Westlands",5,5,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 320,000
 / mont"
"lavington green, Lavington",8,,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 330,000
 / mont"
"Westlands Area, Westlands",2,1,"['Backup Generator', 'Balcony', 'CCTV', 'Furnished', 'Garden', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 200,000
 / mont"
Kileleshwa,3,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 90,000
 / mont"
Kiambu Road,4,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 120,000
 / mont"
"Gigiri, 01, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 370,000
 / mont"
Kileleshwa,2,2,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 225,000
 / mont"
Kiambu Road,4,3,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 180,000
 / mont"
Lavington,3,,"['Alarm', 'Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 230,000
 / mont"
"Bomas, Karen",5,5,"['Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
"Westlands Area, Westlands",2,2,"['Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 100,000
 / mont"
"kileleshwa, Kileleshwa",3,3,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 130,000
 / mont"
"Nyari central Nairobi, Nyari, Westlands",5,6,"['Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 5,500
 / mont"
"Bomas of kenya, O, Karen",5,5,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 250,000
 / mont"
"Riverside, 01, Westlands",3,3,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 220,000
 / mont"
"westlands, Westlands Area, Westlands",2,3,"['Aircon', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Wheelchair Access']"," 220,000
 / mont"
"Olkejuod road, 05, Kileleshwa",3,2,"['Alarm', 'Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Parking', 'Service Charge Included']"," 120,000
 / mont"
"Riverside, Westlands",3,3,"['Backup Generator', 'Balcony', 'CCTV', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Walk In Closet']"," 140,000
 / mont"
"Old kitisuru, Kitisuru, Westlands",3,3,"['Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 505,000
 / mont"
"Riverside, Westlands",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 200,000
 / mont"
Lavington,5,6,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 400,000
 / mont"
"Peponi road, Parklands, Westlands",5,5,"['Balcony', 'En Suite', 'Garden', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 420,000
 / mont"
"Parklands, 01, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 180,000
 / mont"
Karen,4,4,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Swimming Pool']"," 350,000
 / mont"
"Lower Kabete, Westlands",4,5,"['Alarm', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 450,000
 / mont"
Kilimani,,,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking']"," 162,000
 / mont"
Thika Road,,,[]," 624,000
 / mont"
"Kitisuru, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
Kilimani,,,"['Backup Generator', 'Balcony', 'Electric Fence', 'Parking', 'Service Charge Included']"," 80,000
 / mont"
Kilimani,8,8,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 600,000
 / mont"
Lavington,4,4,"['En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 160,000
 / mont"
"oledume road, Lavington",4,4,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 130,000
 / mont"
"Kitisuru, Westlands",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 400,000
 / mont"
"Runda, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'En Suite', 'Fibre Internet', 'Garden', 'Parking']"," 110,000
 / mont"
Kilimani,2,,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Serviced', 'Walk In Closet', 'Wheelchair Access']"," 110,000
 / mont"
"Lower Kabete, Westlands",3,3,"['En Suite', 'Parking']"," 440,000
 / mont"
"Nyari, 01, Westlands",3,3,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 220,000
 / mont"
"kilimani, Kilimani",2,2,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 120,000
 / mont"
"Kiambu Rd, Kiambu Road",4,4,"['BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 105,000
 / mont"
Mombasa Road,,,"['Backup Generator', 'Parking']"," 180,000
 / mont"
"Westlands, 001, Westlands Area",3,3,"['Aircon', 'Alarm', 'BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 330,000
 / mont"
"Riverside, Westlands",2,2,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 100,000
 / mont"
"Kileleshwa, 01",5,5,"['Aircon', 'Alarm', 'BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 170,000
 / mont"
Muthaiga,3,,[]," 705,500
 / mont"
Karen,5,5,"['Balcony', 'En Suite', 'Garden', 'Service Charge Included', 'Walk In Closet']"," 365,000
 / mont"
"Brookside drive westland, Westlands Area, Westlands",2,2,"['Balcony', 'Electric Fence', 'Parking', 'Service Charge Included']"," 100,000
 / mont"
"Riverside, Westlands",3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
Muthaiga,2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 170,000
 / mont"
"Lavington Nairobi, Lavington",,,"['Balcony', 'Electric Fence', 'Garden', 'Parking']"," 450,000
 / mont"
"lavington, Lavington",5,5,"['BBQ', 'Balcony', 'Borehole', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 800,000
 / mont"
"Rhapta Road, Westlands",3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 365,000
 / mont"
"kileleshwa, Kileleshwa",2,2,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 75,000
 / mont"
"Runda, 01, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
"Limuru Road, Parklands, Westlands",3,2,"['Balcony', 'En Suite', 'Lift/Elevator', 'Parking']"," 120,000
 / mont"
"Runda, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
"Westlands Area, Westlands",2,2,['Furnished']," 240,000
 / mont"
"Near Galleria, Karen Hardy",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 320,000
 / mont"
"Runda, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
"Mountain View, Westlands",3,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 65,000
 / mont"
"Runda Nairobi, Runda, Westlands",4,5,"['Alarm', 'Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 450,000
 / mont"
"Kangundo Road, Kileleshwa",1,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 140,000
 / mont"
"Westlands Area, Westlands",2,5,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 150,000
 / mont"
Kilimani,,,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included']"," 30,000
 / mont"
"Racecourse, Ngong Road",1,1,"['Balcony', 'CCTV', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking']"," 120,000
 / mont"
Kilimani,2,2,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"Waiyaki Way, Westlands",,,"['Balcony', 'Garden', 'Parking', 'Service Charge Included']"," 150,000
 / mont"
Kileleshwa,3,4,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 90,000
 / mont"
"kileleshwa, Kileleshwa",3,3,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 90,000
 / mont"
Kilimani,3,4,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Lift/Elevator', 'Parking']"," 100,000
 / mont"
"kitisuru road, Kitisuru, Westlands",5,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 654,750
 / mont"
"Highridge, Parklands, Westlands",,,"['Alarm', 'Backup Generator', 'CCTV', 'Lift/Elevator', 'Parking']"," 60,000
 / mont"
"Runda, Westlands",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 170,000
 / mont"
Karen,4,4,"['En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Wheelchair Access']"," 250,000
 / mont"
"Nyari, Westlands",5,6,"['Balcony', 'En Suite', 'Garden', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 650,000
 / mont"
"Runda Paradise, 01, Runda, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 250,000
 / mont"
Kilimani,2,,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
"Old muthaiga Nairobi, Muthaiga",3,2,"['Backup Generator', 'Balcony', 'Electric Fence', 'Garden', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 200,000
 / mont"
"Riverside, Westlands",,,"['Balcony', 'Electric Fence', 'Garden', 'Parking', 'Service Charge Included']"," 300,000
 / mont"
"red hill road, Nyari, Westlands",1,2,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 160,000
 / mont"
Ngong Road,1,1,"['Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 45,000
 / mont"
"lavington, 0305n, Lavington",5,5,"['Aircon', 'Alarm', 'BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 400,000
 / mont"
Kiambu Road,3,,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 100,000
 / mont"
"Karen Plains Road, Karen",4,5,"['Alarm', 'BBQ', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 400,000
 / mont"
Kileleshwa,5,5,"['Alarm', 'BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"Westlands Area, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 150,000
 / mont"
,,,[],
Upper Hill,,,"['Lift/Elevator', 'Parking']"," 132,175
 / mont"
Kiambu Road,3,3,"['En Suite', 'Garden', 'Parking', 'Serviced']"," 120,000
 / mont"
"Mimosa Road,, Runda, Westlands",5,5,"['Aircon', 'Alarm', 'BBQ', 'Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Shopping centre, Lavington",,,"['Balcony', 'Garden', 'Parking', 'Service Charge Included']"," 1,500,000
 / mont"
Kileleshwa,3,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Serviced', 'Walk In Closet']"," 150,000
 / mont"
"Westlands Area, Westlands",,,['Parking']," 50
 / mont"
"Westlands Area, Westlands",4,4,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 3,400
 / mont"
"Westlands Area, Westlands",3,,"['Backup Generator', 'Balcony', 'CCTV', 'Furnished', 'Parking', 'Service Charge Included', 'Serviced']"," 250,000
 / mont"
"Eldama ravine, 115, Spring Valley, Westlands",3,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
Kilimani,,,[]," 150,000
 / mont"
"Parklands, Westlands",3,3,"['BBQ', 'Bus Stop', 'Hospital', 'Lift/Elevator', 'Parking', 'School', 'Shopping Centre', 'Swimming Pool']"," 325,000
 / mont"
"Mugoiri road, Kileleshwa Nairobi, Kileleshwa",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 230,000
 / mont"
"Westlands Area, Westlands",,,[]," 904,125
 / mont"
Lavington,4,4,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
"riverside, Riverside, Westlands",3,3,"['Balcony', 'CCTV', 'En Suite', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 90,000
 / mont"
"Off Kaputei Road, Lavington",5,5,"['Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Walk In Closet']"," 300,000
 / mont"
Kileleshwa,4,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Wheelchair Access']"," 160,000
 / mont"
"Ngara Road, Ngara",,,['Backup Generator']," 1,200,000
 / mont"
Kilimani,2,3,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 190,000
 / mont"
Kilimani,2,,"['Bus Stop', 'Gym', 'Scenic View', 'School', 'Shopping Centre', 'Swimming Pool']"," 160,000
 / mont"
"Kiambu road, 01, Kiambu Road",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
Mombasa Road,,,['Parking']," 680,000
 / mont"
Dennis Pritt,,,"['Balcony', 'CCTV', 'Garden', 'Parking', 'Service Charge Included']"," 180,000
 / mont"
Kileleshwa,1,1,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 60,000
 / mont"
