Location,Bedrooms,Bathrooms,Amenities,Price
"Nairobi, Kilimani",,,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Service Charge Included']"," 1,200
 / mont"
"Westlands Area, Westlands",,,[]," 25,000
 / mont"
Kilimani,2,,['Parking']," 70,000
 / mont"
"peponi road, Westlands Area, Westlands",3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 420,000
 / mont"
Lavington,1,1,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Wheelchair Access']"," 130,000
 / mont"
"Runda, Westlands",5,6,"['BBQ', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 438,000
 / mont"
Thika Road,4,,['Parking']," 190,000
 / mont"
"Dik Dik Gardens, Kileleshwa",,,"['Backup Generator', 'Balcony', 'Fibre Internet', 'Garden', 'Parking']"," 500,000
 / mont"
"Lake View, Westlands",4,4,"['Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 500,000
 / mont"
"Westlands Area, Westlands",,,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 120
 / mont"
"Othaya Road, Lavington",5,5,"['Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Staff Quarters']"," 250,000
 / mont"
"Oloitoktok rd, Kileleshwa",,1,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Wheelchair Access']"," 80,000
 / mont"
"Lower Kabete, Westlands",5,6,"['Alarm', 'Backup Generator', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 800,000
 / mont"
"kileleshwa, Kileleshwa",3,3,"['Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 100,000
 / mont"
"Riverside, Westlands",,,"['Backup Generator', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included']"," 547,476
 / mont"
"Othaya rd, 83, Kileleshwa",5,5,"['Alarm', 'BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"Rhapta Road, Westlands",2,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 150,000
 / mont"
"Riverside, Westlands",5,,['Garden']," 300,000
 / mont"
Lavington,1,1,['En Suite']," 140,000
 / mont"
"Riverside Drive, Riverside, Westlands",3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
Karen,4,5,"['Balcony', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 370,000
 / mont"
"Runda, Westlands",1,1,"['Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking']"," 110,000
 / mont"
Lavington,5,,[]," 350,000
 / mont"
"Church rd, Westlands Area, Westlands",1,1,"['Alarm', 'BBQ', 'Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 150,000
 / mont"
Lavington,2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
Mombasa Road,,,[]," 100
 / mont"
"General Mathenge, 01, Westlands",3,4,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 230,000
 / mont"
Kilimani,2,2,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
"Kolobot drive, 107, Riverside, Westlands",2,2,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 100,000
 / mont"
"kilimani, Kilimani",2,2,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 80,000
 / mont"
Lavington,5,5,"['Balcony', 'En Suite', 'Garden', 'Gym', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 270,000
 / mont"
"Parklands Road, Nairobi, Waiyaki Way, Westlands",,,"['Aircon', 'Backup Generator', 'CCTV', 'Lift/Elevator', 'Parking']"," 180,000
 / mont"
"Peponi road, Dennis Pritt",3,3,"['Balcony', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 330,000
 / mont"
Lavington,4,4,"['Bus Stop', 'En Suite', 'Hospital', 'School', 'Service Charge Included', 'Shopping Centre', 'Walk In Closet']"," 250,000
 / mont"
"Kitisuru, Westlands",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"Riverside, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 270,000
 / mont"
"Runda, Westlands",4,4,[],Price not communicated
"Spring Valley, Westlands",3,,"['Backup Generator', 'Balcony', 'CCTV', 'Fibre Internet', 'Garden', 'Parking']"," 300,000
 / mont"
"Runda, Westlands",1,1,"['Alarm', 'BBQ', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 70,000
 / mont"
Kileleshwa,4,4,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 340,000
 / mont"
